From	To
P11802	CDK4
Q69YH5	CDCA2
Q9BYE9	CDHR2
Q5MAI5	CDKL4
A6NDU8	C5orf51
Q8N8D9	C5orf56
C9J3I9	C5orf58
P13688	CEACAM1
O15078	CEP290
O94921	CDK14
Q9P2H0	CEP126
Q16878	CDO1
Q2WEN9	CEACAM16
P08218	CELA2B
P08861	CELA3B
Q16739	UGCG
B2RD01	CENPBD1
Q9BZC1	CELF4
A8MTB9	CEACAM18
Q7Z692	CEACAM19
P53567	CEBPG
P07199	CENPB
Q03701	CEBPZ
Q96BT3	CENPT
Q8IW35	CEP97
P19835	CEL
Q7L2Z9	CENPQ
Q53EZ4	CEP55
O95813	CER1
Q9H6K1	C6orf106
Q76N32	CEP68
Q8NHQ1	CEP70
O15182	CETN3
Q49MI3	CERKL
Q9H8W2	LINC00472
P27544	CERS1
P0C7V0	LINC00271
Q8N0U6	LINC00518
P0C671	C6orf222
Q8N319	C6orf223
Q5TEZ4	LINC01590
A8K010	LINC00473
Q96MT4	LINC01600
Q7Z4U5	C6orf201
Q96MT7	CFAP44
P0CG37	CFC1
Q6ZTR5	CFAP47
Q8N1V2	CFAP52
B2RV13	CFAP97D1
Q9UEE9	CFDP1
P00746	CFD
Q0VF96	CGNL1
Q96CB5	C8orf44
P36222	CHI3L1
Q8N4T8	CBR4
Q3MIR4	TMEM30B
Q6P1S2	C3orf33
Q3SXR2	C3orf36
Q9BV29	CCDC32
Q8N5R6	CCDC33
H3BNL1	C3orf84
Q8IW40	CCDC103
P62955	CACNG7
Q8N998	CCDC89
A2RUB6	CCDC66
P06307	CCK
P80075	CCL8
Q8IX05	CD302
Q15762	CD226
O43866	CD5L
P14209	CD99
A6H8M9	CDHR4
P30260	CDC27
Q96Q40	CDK15
Q07002	CDK18
Q9BXL8	CDCA4
Q96FF9	CDCA5
Q6ZTQ4	CDHR3
P60953	CDC42
O95674	CDS2
O14627	CDX4
Q9Y232	CDYL
P24941	CDK2
Q569G3	C5orf47
Q5SW79	CEP170
A6NFR6	C5orf60
P0CG36	CFC1B
Q8NEG2	C7orf57
Q6ZU64	CFAP65
A5D8W1	CFAP69
Q6UXA7	C6orf15
P05156	CFI
Q5T4I8	C6orf52
Q6UWU4	C6orf89
Q6P047	C8orf74
Q6PH81	C16orf87
P00374	DHFR
P04798	CYP1A1
Q7Z449	CYP2U1
Q9Y6A2	CYP46A1
Q9BV73	CEP250
Q02928	CYP4A11
Q8N1L4	CYP4Z2P
Q9HCH3	CPNE5
A2RUQ5	C17orf102
Q0P5P2	C17orf67
Q8NE35	CPEB3
Q9BZP3	LINC00470
Q96N68	C18orf15
Q68DL7	C18orf63
J3KSC0	LINC01387
P42575	CASP2
Q8ND23	CARMIL3
P42574	CASP3
P53634	CTSC
Q9H9S4	CAB39L
A6NHX0	CASTOR2
Q6NZI2	CAVIN1
Q569K6	CCDC157
O00257	CBX4
O95503	CBX6
P13994	CCDC130
H7C350	CCDC188
A0ZSE6	TMEM30CP
Q96BT1	C3orf49
A1A4F0	PQLC2L
A6NLC5	C3orf70
Q6ZRV3	LINC00696
Q2M329	CCDC96
Q9BR77	CCDC77
Q9UFE4	CCDC39
O00175	CCL24
P14635	CCNB1
P24385	CCND1
Q16589	CCNG2
P30279	CCND2
P41002	CCNF
P51685	CCR8
Q9UQ88	CDK11A
P48509	CD151
Q5M9N0	CCDC158
A8MXV6	CDRT15L2
Q13740	ALCAM
P11912	CD79A
P16671	CD36
P10747	CD28
P42081	CD86
O95400	CD2BP2
P34810	CD68
P30203	CD6
Q9HBB8	CDHR5
Q9BWT1	CDCA7
P47902	CDX1
Q96GV9	C5orf30
Q16667	CDKN3
Q14004	CDK13
Q9C0D2	CEP295
P05937	CALB1
P0DP25	CALM3
Q9BX69	CARD6
Q16568	CARTPT
O15234	CASC3
Q9NXV6	CDKN2AIP
Q66K79	CPZ
Q8IUK8	CBLN2
Q6UW01	CBLN3
Q96M89	CCDC138
Q96MF4	CCDC140
Q6ZP82	CCDC141
P83916	CBX1
Q96CT7	CCDC124
Q5T5S1	CCDC183
Q96BQ5	CCDC127
Q52MB2	CCDC184
Q9HC52	CBX8
A1A4V9	CCDC189
P0CE67	C3orf79
F5H4A9	C3orf80
Q15834	CCDC85B
O95273	CCNDBP1
O60359	CACNG3
Q99731	CCL19
Q53HC0	CCDC92
O15444	CCL25
Q8IV13	CCNJL
Q5T5M9	CCNJ
Q9ULG6	CCPG1
P51681	CCR5
O60563	CCNT1
Q6ZRC1	C4orf50
C9J302	C4orf51
P20138	CD33
O75794	CDC123
Q9BWV3	CDADC1
Q8IWY9	CDAN1
P26842	CD27
P06127	CD5
P06729	CD2
Q00526	CDK3
Q9BWU1	CDK19
Q00532	CDKL1
P42772	CDKN2B
Q99626	CDX2
Q0P641	C2orf80
Q86V15	CASZ1
P15086	CPB1
Q96IY4	CPB2
O75976	CPD
Q8NEF3	CCDC112
P22681	CBL
Q8NFR7	CCDC148
Q14781	CBX2
Q8IWP9	CCDC28A
A6NF36	CCDC182
P45973	CBX5
O95931	CBX7
Q49A88	CCDC14
Q8NEL0	CCDC54
Q2TAC2	CCDC57
Q9BQI4	CCDC3
Q96M95	CCDC42
Q8TC90	CCER1
I3L3R5	CCER2
Q96MW1	CCDC43
Q96A33	CCDC47
Q7Z6B0	CCDC91
O00585	CCL21
Q8TAB7	CCDC26
P20248	CCNA2
P46092	CCR10
Q8WWL7	CCNB3
Q96S94	CCNL2
P22674	CCNO
Q15078	CDK5R1
Q01151	CD83
Q13319	CDK5R2
P08962	CD63
P09326	CD48
P09693	CD3G
P01730	CD4
P21926	CD9
Q99618	CDCA3
Q96JP9	CDHR1
P38936	CDKN1A
P46527	CDKN1B
Q92903	CDS1
P42773	CDKN2C
Q15517	CDSN
Q9BXF3	CECR2
P31997	CEACAM8
Q86SI9	C5orf38
Q5SZL2	CEP85L
O95319	CELF2
Q8N2Z9	CENPS
Q9HCU4	CELSR2
Q8IZ16	C7orf61
Q6ZTY9	C7orf65
P08603	CFH
Q6ZP65	BICDL1
Q6ZT62	BARGIN
P10632	CYP2C8
Q13075	NAIP
P78537	BLOC1S1
Q6QNY1	BLOC1S2
Q6QNY0	BLOC1S3
P18075	BMP7
O00327	ARNTL
Q13873	BMPR2
Q01954	BNC1
Q53HL2	CDCA8
P12645	BMP3
Q969J3	BORCS5
Q9UKI2	CDC42EP3
P12644	BMP4
P50747	HLCS
Q9HCU9	BRMS1
O14981	BTAF1
Q8TDN6	BRIX1
A0A1B0GUI7	BRD3OS
P62324	BTG1
P78410	BTN3A2
Q7Z6A9	BTLA
Q8N1D0	SLC22A18AS
Q6NUI1	CCDC144NL
Q9NS00	C1GALT1
Q53TS8	C2CD6
Q6UB35	MTHFD1L
Q9BXJ1	C1QTNF1
Q6ZMU1	C3P1
Q9NRR8	CDC42SE1
Q9BXJ0	C1QTNF5
Q9NZU7	CABP1
Q9H7X2	C1orf115
O00305	CACNB4
Q13634	CDH18
Q9H159	CDH19
P19022	CDH2
Q9ULX7	CA14
P55283	CDH4
Q8N4J0	CARNMT1
P51878	CASP5
Q9UBX1	CTSF
P55210	CASP7
P43234	CTSO
Q5BKX8	CAVIN4
P04040	CAT
P25774	CTSS
P07339	CTSD
P51636	CAV2
A8MZ97	C2orf74
Q8IVU9	CABCOCO1
Q9NWW7	C2orf42
Q6ZSB3	LINC00299
A6NCS6	C2orf72
Q5U5Z8	AGBL2
P48052	CPA2
Q8NEM8	AGBL3
Q5VU57	AGBL4
Q9UK00	C3orf18
Q9NTU7	CBLN4
Q9H0I3	CCDC113
Q86UF4	CCDC190
Q8NCU4	CCDC191
P0DO97	CCDC192
P0C7W6	CCDC172
A0A1B0GTZ2	CCDC196
Q0VFZ6	CCDC173
Q5BJE1	CCDC178
Q494R4	CCDC153
Q8IYE1	CCDC13
Q96LY2	CCDC74B
Q96PX6	CCDC85A
Q96HJ3	CCDC34
Q9Y6R9	CCDC61
Q9BXT2	CACNG6
Q9NUG4	CCM2L
P78556	CCL20
P51671	CCL11
Q9NRJ3	CCL28
P24863	CCNC
P51686	CCR9
Q5BLP8	C4orf48
Q8WVX3	C4orf3
Q8N1A6	C4orf33
Q8N6Q3	CD177
Q99467	CD180
P09564	CD7
P13987	CD59
P29965	CD40LG
P29017	CD1C
P16070	CD44
P04234	CD3D
P01732	CD8A
Q5VXM1	CDCP2
Q9UJX2	CDC23
P32970	CD70
Q9H305	CDIP1
Q00537	CDK17
O95180	CACNA1H
Q9P0X4	CACNA1I
Q16790	CA9
Q9HA72	CALHM2
Q8N3J6	CADM2
P06881	CALCA
O43852	CALU
Q96LZ3	PPP3R2
Q5T5Y3	CAMSAP1
O15484	CAPN5
Q5VZK9	CARMIL1
Q05329	GAD2
P08311	CTSG
Q14790	CASP8
Q13938	CAPS
Q96KX2	CAPZA3
P41180	CASR
Q5NE16	CTSL3P
Q8WTX7	CASTOR1
Q8NAP1	CASTOR3
P15085	CPA1
Q13191	CBLB
Q9H6E4	CCDC134
P0DN79	CBSL
P35520	CBS
Q9P0B6	CCDC167
P16152	CBR1
Q9UNH5	CDC14A
A6NC98	CCDC88B
Q5JTY5	CBWD3
Q6ZUJ4	C3orf62
Q5T9S5	CCDC18
Q6ZRK6	CCDC73
A2IDD5	CCDC78
Q16627	CCL14
P53701	HCCS
Q8N4S0	CCDC82
Q9H0W5	CCDC8
Q9NVE4	CCDC87
Q8WXS5	CACNG8
P13501	CCL5
Q5VVM6	CCDC30
P49662	CASP4
P19113	HDC
Q9UBR2	CTSZ
Q7Z7H3	CATIP
P47755	CAPZA2
A6NCI8	C2orf78
O60911	CTSV
Q96LR7	C2orf50
Q8N535	LINC00471
Q6UXQ4	C2orf66
Q8NDL9	AGBL5
Q9HBI5	C3orf14
Q96JN2	CCDC136
Q96M63	CCDC114
Q96NT0	CCDC115
Q8IYX3	CCDC116
Q6TFL3	CCDC171
Q8NCX0	CCDC150
Q9GZT6	CCDC90B
Q5T0U0	CCDC122
A6NGH7	CCDC160
Q9BUN5	CCDC28B
Q8N715	CCDC185
Q5JPI3	C3orf38
Q0P6D6	CCDC15
A0A1B0GTC6	C3orf85
Q4VC31	CCDC58
Q96M83	CCDC7
P13236	CCL4
P22362	CCL1
Q8WXS4	TMEM37
P48745	CCN3
P78396	CCNA1
P51679	CCR4
Q6ZMN8	CCNI2
O96020	CCNE2
Q8N1B3	CCNQ
P51959	CCNG1
Q5T2Q4	CCNYL2
Q6YHK3	CD109
O14618	CCS
Q99440	LINC01587
P20963	CD247
P19397	CD53
Q9BZW8	CD244
P60033	CD81
Q16543	CDC37
Q9BRK5	SDF4
Q8WWF1	C1orf54
Q5SR53	PIK3CD-AS1
Q3SY05	LINC00303
Q8TC20	CAGE1
O60840	CACNA1F
P35218	CA5A
Q05682	CALD1
Q08289	CACNB2
Q8NFZ8	CADM4
P40121	CAPG
Q86VP6	CAND1
Q8WVQ1	CANT1
P07384	CAPN1
Q9Y6Q1	CAPN6
P05814	CSN2
Q99259	GAD1
P43235	CTSK
O14958	CASQ2
P52907	CAPZA1
Q53S99	C2orf83
Q6ZV80	C2orf91
Q6P9G0	CYB5D1
Q2NKX9	C2orf68
O95810	CAVIN2
Q9UI42	CPA4
Q96MI9	AGBL1
P14384	CPM
P15169	CPN1
P23435	CBLN1
Q8IVL8	CPO
Q92793	CREBBP
P16870	CPE
Q9UPW5	AGTPBP1
Q6ZUS6	CCDC149
Q96HB5	CCDC120
Q4V339	CBWD6
H3BU77	CCDC179
Q9P1Z9	CCDC180
Q5TID7	CCDC181
P0C7I6	CCDC159
Q8IYK2	CCDC105
Q9Y698	CACNG2
Q6UXH8	CCBE1
Q9Y3X0	CCDC9
Q8N3J3	C17orf53
Q6ZR85	C17orf107
Q96L46	CAPNS2
Q15125	EBP
Q9UNS2	COPS3
Q92905	COPS5
O95672	ECEL1
Q9H8E8	KAT14
Q13011	ECH1
Q9NTX5	ECHDC1
P30084	ECHS1
Q96S65	CSRNP1
Q08426	EHHADH
Q8WYN3	CSRNP3
P42126	ECI1
O75521	ECI2
Q5VYK3	ECPAS
O94769	ECM2
Q12996	CSTF3
O94985	CLSTN1
Q9GZN8	C20orf27
Q9H4D0	CLSTN2
O60676	CST8
P0C5K6	VENTXP1
Q05048	CSTF1
Q8N268	C20orf197
A1L168	C20orf202
Q8WUE5	CT55
Q5JQC4	CT47A1
Q5JQC4	CT47A10
Q5JQC4	CT47A11
Q5JQC4	CT47A12
Q5JQC4	CT47A2
Q5JQC4	CT47A3
Q5JQC4	CT47A4
Q5JQC4	CT47A5
Q5JQC4	CT47A6
Q5JQC4	CT47A7
Q5JQC4	CT47A8
Q5JQC4	CT47A9
P0C2W7	CT47B1
O75638	CTAG2
Q2NKJ3	CTC1
Q8WYA6	CTNNBL1
Q9Y5B0	CTDP1
Q9GZU7	CTDSP1
O15194	CTDSPL
Q86UF2	CTAGE6
P16410	CTLA4
O14681	EI24
P01034	CST3
Q6ZPD9	DPY19L3
Q9BU20	CPLANE2
P08684	CYP3A4
F2Z3M2	C17orf112
Q9BSJ5	C17orf80
Q8TCG5	CPT1C
A4D0V7	CPED1
Q96BA8	CREB3L1
P17927	CR1
Q6FI81	CIAPIN1
Q01094	E2F1
Q494W8	CHRFAM7A
Q14209	E2F2
O00716	E2F3
P06850	CRH
P07320	CRYGD
Q8WXF5	CRYGN
Q9P021	CRIPT
O75462	CRLF1
Q6ZTU2	EP400P1
Q5TZA2	CROCC
P46108	CRK
Q8IVE0	CROCCP3
Q9HCS5	EPB41L4A
Q9H336	CRISPLD1
Q9UBG3	CRNN
Q9H3Y0	R3HDML
O75718	CRTAP
P02489	CRYAA
Q9NSK7	C19orf12
Q9UFG5	C19orf25
Q6RUI8	C19orf48
Q5BKX5	C19orf54
A6NCJ1	C19orf71
Q9NVV2	C19orf73
C9J6K1	C19orf81
Q5T4H9	CASC10
Q9Y600	CSAD
Q6XLA1	CASC2
Q5T3F8	TMEM63B
P48664	SLC1A6
A0A140G945	CRYAA2
Q9Y2W7	KCNIP3
P09603	CSF1
P0DML3	CSH2
P04141	CSF2
P68400	CSNK2A1
Q8WXD9	CASKIN1
Q8WXE0	CASKIN2
Q8NEV1	CSNK2A3
Q56P03	EAPP
Q13098	GPS1
Q00534	CDK6
P50613	CDK7
P55273	CDKN2D
Q9Y6F8	CDY1
Q9Y6F8	CDY1B
Q7Z6I8	C5orf24
Q52M75	LINC01554
Q5TB80	CEP162
Q9H211	CDT1
Q96ST8	CEP89
Q9HC77	CENPJ
Q96MT8	CEP63
Q96LK0	CEP19
Q5T6M2	LINC00242
Q96G23	CERS2
Q8NDM7	CFAP43
Q9P0P8	C6orf203
Q6V702	CFAP299
Q4VX62	C6orf99
P0DN87	CGB7
Q6ZUL3	C8orf86
E5RJ46	C8orf87
Q16880	UGT8
P32929	CTH
Q96KT6	LINC00208
Q8TAZ6	CMTM2
Q8IZR5	CMTM4
Q96DZ9	CMTM5
Q8IZV2	CMTM8
Q9UBR5	CKLF
Q8N8Q8	COX18
Q05923	DUSP2
Q49B96	COX19
Q96I36	COX14
P00395	MT-CO1
Q7Z3J2	C16orf62
P05093	CYP17A1
Q9H693	C16orf95
P98187	CYP4F8
P10635	CYP2D6
P05181	CYP2E1
P13584	CYP4B1
Q86YF9	DZIP1
O75881	CYP7B1
Q9HB55	CYP3A43
Q9NYL5	CYP39A1
Q8NEP4	C17orf47
Q8N4C9	C17orf78
Q8IZN7	DEFB107A
Q8IZN7	DEFB107B
Q8WUS8	SDR42E1
Q15828	CST6
Q14118	DAG1
Q86T65	DAAM2
Q9H1M4	DEFB127
Q30KQ9	DEFB110
Q7Z7B7	DEFB132
Q8NES8	DEFB124
Q92904	DAZL
Q9H9R9	DBNDD1
Q96EP5	DAZAP1
Q8NFT6	DBF4B
A6NGE4	DCAF8L1
P0C7V8	DCAF8L2
Q5QP82	DCAF10
Q5T6F0	DCAF12
Q6ZNG2	DBX2
Q5VU92	DCAF12L1
P61962	DCAF7
Q8N8Z6	DCBLD1
Q96PD2	DCBLD2
Q8IU60	DCP2
Q96C86	DCPS
Q96SD1	DCLRE1C
Q9BTE1	DCTN5
P06132	UROD
Q9NUU7	DDX19A
Q9UMR2	DDX19B
O95865	DDAH2
P35638	DDIT3
Q9BUQ8	DDX23
Q96D03	DDIT4L
Q9H223	EHD4
Q9UI10	EIF2B4
Q9NWV4	CZIB
Q9NRR1	CYTL1
Q30KR1	DEFB109B
Q30KQ6	DEFB114
Q5J5C9	DEFB121
Q13117	DAZ2
O43293	DAPK3
Q8WV16	DCAF4
Q96JK2	DCAF5
O15075	DCLK1
Q9C098	DCLK3
P32321	DCTD
O75935	DCTN3
Q9NQC7	CYLD
Q9H9B1	EHMT1
Q96J86	CYYR1
P59861	DEFB131A
Q30KQ1	DEFB133
Q8N688	DEFB123
Q9UIK4	DAPK2
Q8TCX1	DYNC2LI1
Q58WW2	DCAF6
M0R2J8	DCDC1
Q13409	DYNC1I2
Q9NPI6	DCP1A
P43897	TSFM
Q9NZC4	EHF
Q6ZN68	DPY19L2P2
Q8N104	DEFB106A
Q8N104	DEFB106B
Q6NUT2	DPY19L2
Q9H1M3	DEFB129
Q8N136	DAW1
Q30KQ4	DEFB116
Q96PH6	DEFB118
Q4QY38	DEFB134
Q30KP8	DEFB136
Q8N687	DEFB125
Q9BYW3	DEFB126
A6NH13	DNAJC9-AS1
Q8NA75	DCAF4L2
Q9UK59	DBR1
Q9NV06	DCAF13
Q10586	DBP
Q5TAQ9	DCAF8
Q9NXF7	DCAF16
Q5H9S7	DCAF17
Q8WVC6	DCAKD
Q9Y4B6	DCAF1
Q9UHG0	DCDC2
P43146	DCC
O14576	DYNC1I1
Q6PH85	DCUN1D2
Q15438	CYTH1
P01040	CSTA
Q69YQ0	SPECC1L
P0CZ25	DNAH10OS
Q6NXN4	DPY19L2P1
P08174	CD55
Q5D0E6	DALRD3
Q8WXU2	DNAAF4
O75553	DAB1
Q9UN19	DAPP1
Q30KQ8	DEFB112
Q9UER7	DAXX
Q9NQZ3	DAZ1
Q9NR90	DAZ3
Q86SG3	DAZ4
Q9UBU7	DBF4
Q9UJU6	DBNL
P53355	DAPK1
P35663	CYLC1
Q14093	CYLC2
Q9UIA0	CYTH4
Q0D2K5	EGFEM1P
O00622	CYR61
O60759	CYTIP
Q96B18	DACT3
P61803	DAD1
P0C864	DANCR
P98082	DAB2
Q99418	CYTH2
Q63HQ2	EGFLAM
P01036	CST4
Q8N9W5	DNAAF3
A6NKP2	SDR42E2
Q9NYF0	DACT1
Q86Y56	DNAAF5
Q96M78	FER1L6-AS2
Q96AC1	FERMT2
Q4L180	FILIP1L
Q96C11	FGGY
Q9BYE0	HES7
Q14318	FKBP8
Q96DP5	MTFMT
P49354	FNTA
Q9P278	FNIP2
Q99853	FOXB1
Q9BZS1	FOXP3
P25089	FPR3
Q6ZUU3	FOXL2NB
P26583	HMGB2
Q6P4F2	FDX2
Q96RJ6	FERD3L
Q8NA97	FER1L6-AS1
P02771	AFP
P16591	FER
Q9GZV9	FGF23
A0PJY2	FEZF1
Q9BQS7	HEPH
Q5JSP0	FGD3
Q8TBJ5	FEZF2
Q92915	FGF14
Q8N441	FGFRL1
P08620	FGF4
Q02985	CFHR3
P22607	FGFR3
O60774	FMO6P
Q8TF40	FNIP1
P49356	FNTB
Q8WW38	ZFPM2
Q05932	FPGS
O75593	FOXH1
Q12951	FOXI1
Q08050	FOXM1
O43638	FOXS1
Q9P2B2	PTGFRN
Q8WU20	FRS2
O43559	FRS3
Q5SZK8	FREM2
Q5H9T9	FSCB
Q7Z6J6	FRMD5
O14926	FSCN2
Q9NQT6	FSCN3
Q9BXM9	FSD1L
O15347	HMGB3
Q8WW32	HMGB4
Q8NDV2	GPR26
Q9UPC5	GPR34
Q494R0	FBXL19-AS1
Q12805	EFEMP1
Q86XK2	FBXO11
Q9HCM7	FBRSL1
O94952	FBXO21
Q9NWN3	FBXO34
Q8NEA4	FBXO36
Q9NVF7	FBXO28
Q9HAH7	FBRS
Q6DN72	FCRL6
O14842	FFAR1
O15552	FFAR2
O14843	FFAR3
Q5NUL3	FFAR4
P11362	FGFR1
P21781	FGF7
B1AJZ9	FHAD1
Q9BXU8	FTHL17
P0C7X4	FTH1P19
Q5D862	FLG2
Q14254	FLOT2
Q06828	FMOD
Q5VTL7	FNDC7
Q5VW36	FOCAD
O00602	FCN1
Q6PJ61	FBXO46
P55899	FCGRT
Q96LA5	FCRL2
Q9UJT9	FBXL7
Q96CD0	FBXL8
P35556	FBN2
Q9BSK4	FEM1A
Q92562	FIG4
Q92496	CFHR4
Q9BXR6	CFHR5
Q9Y543	HES2
Q6PIW4	FIGNL1
Q5TA89	HES5
Q13642	FHL1
P02751	FN1
Q96SL8	FIZ1
A5D6W6	FITM1
Q8N6M3	FITM2
Q5T1M5	FKBP15
O95302	FKBP9
Q00688	FKBP3
B3EWG6	FAM25G
Q9UPI3	FLVCR2
F2Z333	FNDC10
P14207	FOLR2
P41439	FOLR3
Q96SC8	DMRTA2
Q14565	DMC1
P11532	DMD
Q8TD57	DNAH3
Q8TE73	DNAH5
Q14204	DYNC1H1
Q9Y463	DYRK1B
Q0VDD8	DNAH14
Q92630	DYRK2
Q9NR20	DYRK4
P62879	GNB2
P50395	GDI2
P11161	EGR2
Q13347	EIF3I
O75822	EIF3J
Q96BJ8	ELMO3
Q99607	ELF4
O00472	ELL2
Q9HB65	ELL3
Q9GZR5	ELOVL4
Q8N336	ELMOD1
O95834	EML2
Q5T6L9	ERMARD
O94868	FCHSD2
P08637	FCGR3A
Q15485	FCN2
Q9UK99	FBXO3
Q8WWV6	FCAMR
P06734	FCER2
Q9UKT7	FBXL3
Q02790	FKBP4
Q9Y680	FKBP7
Q7Z7B0	FILIP1
Q9NZ56	FMN2
Q96PY5	FMNL2
P49326	FMO5
Q9HBA9	FOLH1B
Q8TBE3	FNDC9
Q8N3X1	FNBP4
Q8IX07	ZFPM1
O60548	FOXD2
Q12952	FOXL1
A9Z1Z3	FER1L4
A0AVI2	FER1L5
Q2WGJ9	FER1L6
Q9BZ68	FRMD8P1
Q6PIV2	FOXR1
O15353	FOXN1
Q96NZ1	FOXN4
O95073	FSBP
Q14CM0	FRMPD4
Q9P0K9	FRRS1L
A6NHQ2	FBLL1
Q8NEZ5	FBXO22
Q5XUX1	FBXW9
Q6X9E4	FBXW12
Q9UH90	FBXO40
P24071	FCAR
Q6P3S6	FBXO42
Q9UKT5	FBXO4
Q9UKA1	FBXL5
Q13630	TSTA3
P07332	FES
Q8TAL6	FIBIN
Q5GLZ8	HERC4
Q15011	HERPUD1
Q9BSE4	HERPUD2
P55075	FGF8
P49789	FHIT
Q5TGS1	HES3
Q9BVA6	FICD
A6NMB9	FIGNL2
Q08830	FGL1
Q96HZ4	HES6
Q14192	FHL2
P02671	FGA
P36888	FLT3
Q68DA7	FMN1
P0C7T7	FRMD6-AS1
Q06787	FMR1
Q9BXL5	HEMGN
O15520	FGF10
Q9UHY8	FEZ2
Q96M96	FGD4
P05981	HPN
O43320	FGF16
P11487	FGF3
Q5TD97	FHL5
P10767	FGF6
P21802	FGFR2
Q03591	CFHR1
Q9C0D6	FHDC1
P02679	FGG
Q86VR8	FJX1
Q9H9S5	FKRP
Q13045	FLII
Q96HJ9	FMC1
Q99518	FMO2
Q9NZU1	FLRT1
Q5VTH2	CFAP126
E5RQL4	FTCDNL1
Q9UJU5	FOXD3
Q8TB52	FBXO30
Q0JRZ9	FCHO2
Q9HCC6	HES4
P62942	FKBP1A
O75344	FKBP6
O75072	FKTN
P26885	FKBP2
Q01740	FMO1
B3EWG3	FAM25A
Q8IVF7	FMNL3
Q9H479	FN3K
P98177	FOXO4
P21462	FPR1
O75474	FRAT2
Q16595	FXN
P14324	FDPS
O00409	FOXN3
P39748	FEN1
Q9HCT0	FGF22
P61328	FGF12
Q6ZNL6	FGD5
O76093	FGF18
O95750	FGF19
P12034	FGF5
Q9Y613	FHOD1
P05230	FGF1
Q9NP95	FGF20
Q9UBX0	HESX1
Q96AY3	FKBP10
P68106	FKBP1B
Q9UIM3	FKBPL
Q01543	FLI1
B3EWG5	FAM25C
P41223	BUD31
P15538	CYP11B1
P11586	MTHFD1
P02746	C1QB
P02747	C1QC
Q5T0F9	CC2D1B
Q9BXJ3	C1QTNF4
Q9BXI9	C1QTNF6
Q9BXJ2	C1QTNF7
Q9BV19	C1orf50
Q5T5A4	C1orf194
Q8N6N3	C1orf52
Q5VVS0	C1orf140
Q5VUE5	C1orf53
Q8NEQ5	C1orf162
Q5SNV9	C1orf167
A1L170	C1orf226
Q9BTV7	CABLES2
Q9NX04	C1orf109
O00555	CACNA1A
Q9NPB3	CABP2
Q00975	CACNA1B
P55285	CDH6
Q86Y37	CACUL1
Q9BXU9	CALN1
P55286	CDH8
Q86UP0	CDH24
P43155	CRAT
Q5T440	IBA57
O75493	CA11
O43570	CA12
P22748	CA4
P23280	CA6
Q8TD86	CALML6
Q96L12	CALR3
P0DP23	CALM1
Q01518	CAP1
P49069	CAMLG
Q9H257	CARD9
P55212	CASP6
P07858	CTSB
Q13166	CATR1
Q92851	CASP10
Q9BXY5	CAPS2
Q8N5S3	C2orf73
P07711	CTSL
Q9Y646	CPQ
Q9ULV8	CBLC
Q8N5N4	C3orf22
Q96M34	C3orf30
Q9C0J9	BHLHE41
Q02318	CYP27A1
A1A5D9	BICDL2
Q13490	BIRC2
Q5H9B9	BMP2KL
P35226	BMI1
P17213	BPI
Q7L576	CYFIP1
Q9HAW0	BRF2
Q075Z2	BSPH1
Q6UXE8	BTNL3
Q6UXG8	BTNL9
Q5XKL5	BTBD8
Q86VB7	CD163
Q6P1N0	CC2D1A
Q86Z23	C1QL4
Q9NPY3	CD93
Q9BXJ4	C1QTNF3
P20851	C4BPB
Q9NZP8	C1RL
Q9P2K1	CC2D2A
P33076	CIITA
Q8IZS8	CACNA2D3
Q5VU69	C1orf189
Q8WTZ4	CA5BP1
Q8N1I8	CACTIN-AS1
Q9NSG2	C1orf112
Q9NP86	CABP5
P12830	CDH1
Q9H251	CDH23
Q13137	CALCOCO2
O00478	BTN3A3
Q96K17	BTF3L4
Q99622	C12orf57
P0DN25	C1GALT1C1L
Q13111	CHAF1A
Q13112	CHAF1B
Q9Y6N8	CDH10
Q8N5C1	CALHM5
Q5R3K3	CALHM6
Q8N1Q1	CA13
P55291	CDH15
Q8IU99	CALHM1
Q16602	CALCRL
Q8NCB2	CAMKV
Q9P1Y5	CAMSAP3
P20160	AZU1
P57730	CARD18
Q6P4E1	CASC4
Q96PB1	CASD1
P31944	CASP14
P55211	CASP9
Q03135	CAV1
Q8N350	CBARP
P08185	SERPINA6
Q969G5	CAVIN3
Q8N4T0	CPA6
Q9Y3M2	CBY1
A6NI87	CBY3
Q8ND61	C3orf20
Q17RM4	CCDC142
Q8NDH2	CCDC168
Q8IWD4	CCDC117
Q6PII3	CCDC174
P0C221	CCDC175
A5D8V7	CCDC151
A6NI56	CCDC154
Q13185	CBX3
Q9C0B6	BRINP2
P20290	BTF3
Q6UWJ8	CD164L2
Q96L14	CEP170P1
Q9BXJ5	C1QTNF2
P04003	C4BPA
Q6DHV5	CC2D2B
Q9H246	C1orf21
Q8N6G1	LINC00337
Q8NC38	ZNF436-AS1
Q8TAB5	C1orf216
Q8TDN4	CABLES1
Q8N9H9	C1orf127
Q13936	CACNA1C
Q8IXH8	CDH26
P55289	CDH12
O75309	CDH16
P17655	CAPN2
A8MX76	CAPN14
Q9ULU8	CADPS
Q9BXL7	CARD11
Q96LW7	CARD19
P29466	CASP1
P07498	CSN3
P09668	CTSH
Q8WUQ7	CACTIN
Q6UXS9	CASP12
Q58F21	BRDT
Q7KYR7	BTN2A1
Q13895	BYSL
